id,name,address,address_lat,address_lng,contact_name,contact_email,url
8582,Леруа Мерлен,,,,,,https://api.hh.ru/employers/8582
18239,SUNLIGHT,,,,,,https://api.hh.ru/employers/18239
55440,Мэлон Фэшн Груп,"Новосибирск, Красный проспект, 101",55.055733,82.911905,Рунихина Надежда Олеговна,runikhinano@melonfashion.com,https://api.hh.ru/employers/55440
986096,ШашлыкоFF,"Новосибирск, Красный проспект, 200",55.063385,82.912515,Алексей,kpkalina@srpgroup.ru,https://api.hh.ru/employers/986096
31050,"РИВ ГОШ, Сеть магазинов","Новосибирск, улица Гоголя, 13",55.043721,82.922334,,,https://api.hh.ru/employers/31050
1090122,Гармония Здоровья,"Новосибирск, Ядринцевская улица, 72",55.033888,82.934991,Перевышина Ольга Петровна,perevyshina.op@garzdrav.ru,https://api.hh.ru/employers/1090122
543968,Азовская кондитерская фабрика,,,,,,https://api.hh.ru/employers/543968
990297,"Армада, группа компаний","Новосибирск, Станционная 30 А -702",,,Мышляева Елена,e.mishlyaeva@gkarmada.ru,https://api.hh.ru/employers/990297
64174,2ГИС,"Новосибирск, площадь Карла Маркса, 7",54.980394,82.897882,Елизавета,e.marushina@nsk.2gis.ru,https://api.hh.ru/employers/64174
2700694,Светодиоды России,"Новосибирск, улица Королёва, 40к21",55.05844,82.964438,,,https://api.hh.ru/employers/2700694
58055,Бизнес и Технологии,,,, Юлия  Сергеевна ,bitpersonal@bitpersonal.ru,https://api.hh.ru/employers/58055
4154423,Субмаринер,,,,,,https://api.hh.ru/employers/4154423
80,Альфа-Банк,,,,,,https://api.hh.ru/employers/80
563290,ОФИС ПРЕМЬЕР,,,,,,https://api.hh.ru/employers/563290
13789,Abbott Laboratories,,,,,,https://api.hh.ru/employers/13789
30637,Л'Этуаль,,,,менеджер по подбору персонала,hrm3-ovb-sb@letuin.ru,https://api.hh.ru/employers/30637
89,БАНК УРАЛСИБ,,,,,,https://api.hh.ru/employers/89
1049049,ИНЖЕНЕРНЫЕ СЕТИ,,,,Санникова Евгения,pep@ingenerseti.ru,https://api.hh.ru/employers/1049049
1726083,Мобильный город,"Новосибирск, Вокзальная магистраль, 2",55.034471,82.899292,Дарья Валерьевна,rabota.tele2@list.ru,https://api.hh.ru/employers/1726083
3127,МегаФон,"Новосибирск, Планетная улица, 30",55.049488,82.960018,Палушина Наталья ,natalia.palushina@megafon.ru,https://api.hh.ru/employers/3127
4568816,Частный рекрутер Петров Никита Алексеевич,,,,,,https://api.hh.ru/employers/4568816
32501,"Монетка, Торговая сеть",,,,Емельянова Виктория,vemelyanova@monetka.ru,https://api.hh.ru/employers/32501
247761,Волгоградский керамический завод,,,,,,https://api.hh.ru/employers/247761
67307,Металлинвест,,,,Колобова Екатерина Евгеньевна,job@m-invest.ru,https://api.hh.ru/employers/67307
1049556,Почта Банк,,,,,,https://api.hh.ru/employers/1049556
1473571,ПаникАпп,"Новосибирск, Советский район, микрорайон Академгородок, проспект Академика Лаврентьева, 6/1",54.851163,83.100623,Грасмик Олеся Сергеевна,ograsmik@punicapp.com,https://api.hh.ru/employers/1473571
